,condition,competition_group,subgroup,electric_utility,gas_utility,building_type,measure_life_(yrs),initial_count,market,count,measure_name,sector,program,baseline_condition,efficient_condition,complementary_condition,electric_end_use,incremental_cost_(usd),annual_oandm_savings_(usd),annual_energy_saved_(kwh),water_savings_(gallons),energy_impact_1,energy_impact_1_fuel_type,energy_impact_1_units,energy_impact_2,energy_impact_2_fuel_type,energy_impact_2_units,energy_impact_3,energy_impact_3_fuel_type,energy_impact_3_units,energy_impact_1_end_use,energy_impact_2_end_use,energy_impact_3_end_use,measure_incremental_cost,demand_ratio,deferred_replacement_credit_value,measure_water_savings,measure_electric_energy_savings,measure_natural_gas_savings,measure_fuel_oil_savings,measure_propane_savings,measure_gasoline_savings,measure_diesel_savings,electric_energy_savings_value,electric_demand_savings_value,natural_gas_savings_value,fuel_oil_savings_value,propane_savings_value,diesel_transportation_savings_value,gasoline_transportation_savings_value,other_fuel_savings_value,annual_oandm_savings,o_and_m_savings_value,water_savings_value,electric_incentive_pct,natural_gas_incentive_pct,nonutility_incentive_pct,electric_utility_incentive_value,natural_gas_utility_incentive_value,nonutility_incentive_value,total_incentive_value,electric_utility_nonmeasure_program_cost,natural_gas_utility_nonmeasure_program_costs,nonutility_nonmeasure_program_costs,risk_discount_value,electric_carbon_savings_value,electric_n2o_savings_value,electric_ch4_savings_value,natural_gas_carbon_savings_value,fuel_oil_carbon_savings_value,propane_carbon_savings_value,diesel_transportation_carbon_savings_value,gasoline_transportation_carbon_savings_value,natural_gas_n2o_savings_value,fuel_oil_n2o_savings_value,propane_n2o_savings_value,diesel_transportation_n2o_savings_value,gasoline_transportation_n2o_savings_value,natural_gas_ch4_savings_value,fuel_oil_ch4_savings_value,propane_ch4_savings_value,diesel_transportation_ch4_savings_value,gasoline_transportation_ch4_savings_value,end_use_fuel_externalities,other_nonresource_benefits,electric_customer_bill_savings,natural_gas_customer_bill_savings,heating_oil_customer_bill_savings,EUCT_cost,EUCT_benefit,EUCT_BCR,GUCT_cost,GUCT_benefit,GUCT_BCR,EGUCT_cost,EGUCT_benefit,EGUCT_BCR,TRC_cost,TRC_benefit,TRC_BCR,SCT_cost,SCT_benefit,SCT_BCR,RIM_cost,RIM_benefit,RIM_BCR,PCT_cost,PCT_benefit,PCT_BCR
19,refrigerator_electricity_efficient_residential,refrigeration,full_size,test_utility_1,test_utility_2,single_family,10,30000.0,ROB,3000.0,refrigerator_electricity_efficient_residential_refrigerator_electricity_baseline_residential,residential,NLIRROB,refrigerator_electricity_baseline_residential,refrigerator_electricity_efficient_residential,,unknown,450.0,0.0,0.0,0.0,450.0,electricity,kWh,,,,,,,refrigeration,,,450.0,0.03424657534246575,1.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,215.61157712411108,1034.608405772132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,225.0,225.0,225.0,675.0,135.0,135.0,135.0,9.02,303.56544070135453,0.6445227910304651,16.235524228376146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.44548772076115,8.786108921879103,790.7498029691194,0.0,0.0,360.0,1250.2199828962432,3.472833285822898,360.0,0.0,0.0,720.0,1250.2199828962432,1.736416642911449,1080.0,1269.0260918181223,1.175024159090854,1080.0,1909.9170672596447,1.7684417289441154,1510.7498029691194,1610.2199828962432,1.0658415971536996,450.0,2725.7558947872417,6.057235321749426
20,refrigerator_electricity_efficient_residential,refrigeration,full_size,test_utility_1,none,single_family,10,82500.0,ROB,8250.0,refrigerator_electricity_efficient_residential_refrigerator_electricity_baseline_residential,residential,NLIRROB,refrigerator_electricity_baseline_residential,refrigerator_electricity_efficient_residential,,unknown,450.0,0.0,0.0,0.0,450.0,electricity,kWh,,,,,,,refrigeration,,,450.0,0.03424657534246575,1.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,215.61157712411108,1034.608405772132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,225.0,225.0,225.0,675.0,135.0,135.0,135.0,9.02,303.56544070135453,0.6445227910304651,16.235524228376146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.44548772076115,0.25590608510327484,790.7498029691194,0.0,0.0,360.0,1250.2199828962432,3.472833285822898,360.0,0.0,0.0,720.0,1250.2199828962432,1.736416642911449,1080.0,1260.4958889813465,1.1671258231308763,1080.0,1901.3868644228687,1.7605433929841376,1510.7498029691194,1610.2199828962432,1.0658415971536996,450.0,2717.2256919504657,6.03827931544548
21,refrigerator_electricity_baseline_residential,refrigeration,full_size,test_utility_1,test_utility_1,single_family,10,12500.0,ROB,1250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,refrigerator_electricity_baseline_residential,refrigeration,full_size,test_utility_1,test_utility_2,single_family,10,25000.0,ROB,2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,refrigerator_electricity_baseline_residential,refrigeration,full_size,test_utility_1,none,single_family,10,68750.0,ROB,6875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,refrigerator_electricity_top10_residential,refrigeration,full_size,test_utility_1,test_utility_1,single_family,10,12500.0,ROB,1250.0,refrigerator_electricity_top10_residential_refrigerator_electricity_baseline_residential,residential,NLIRROB,refrigerator_electricity_baseline_residential,refrigerator_electricity_top10_residential,,unknown,750.0,0.0,0.0,0.0,700.0,electricity,kWh,,,,,,,refrigeration,,,750.0,0.03424657534246575,1.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,335.39578663750615,1609.3908534233162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,375.0,375.0,375.0,1125.0,225.0,225.0,225.0,15.02,472.2129077576627,1.0025910082696121,25.255259910807336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.4707586767397,0.25590608510327484,1230.0552490630746,0.0,0.0,600.0,1944.7866400608223,3.241311066768037,600.0,0.0,0.0,1200.0,1944.7866400608223,1.6206555333840185,1800.0,1961.0625461459256,1.089479192303292,1800.0,2958.0040634994048,1.6433355908330027,2430.0552490630744,2544.7866400608223,1.0472134907393498,750.0,4301.097795209001,5.734797060278668
25,refrigerator_electricity_top10_residential,refrigeration,full_size,test_utility_1,test_utility_2,single_family,10,25000.0,ROB,2500.0,refrigerator_electricity_top10_residential_refrigerator_electricity_baseline_residential,residential,NLIRROB,refrigerator_electricity_baseline_residential,refrigerator_electricity_top10_residential,,unknown,750.0,0.0,0.0,0.0,700.0,electricity,kWh,,,,,,,refrigeration,,,750.0,0.03424657534246575,1.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,335.39578663750615,1609.3908534233162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,375.0,375.0,375.0,1125.0,225.0,225.0,225.0,15.02,472.2129077576627,1.0025910082696121,25.255259910807336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.4707586767397,8.786108921879103,1230.0552490630746,0.0,0.0,600.0,1944.7866400608223,3.241311066768037,600.0,0.0,0.0,1200.0,1944.7866400608223,1.6206555333840185,1800.0,1969.5927489827013,1.0942181938792785,1800.0,2966.5342663361807,1.6480745924089892,2430.0552490630744,2544.7866400608223,1.0472134907393498,750.0,4309.627998045777,5.746170664061036
26,refrigerator_electricity_top10_residential,refrigeration,full_size,test_utility_1,none,single_family,10,68750.0,ROB,6875.0,refrigerator_electricity_top10_residential_refrigerator_electricity_baseline_residential,residential,NLIRROB,refrigerator_electricity_baseline_residential,refrigerator_electricity_top10_residential,,unknown,750.0,0.0,0.0,0.0,700.0,electricity,kWh,,,,,,,refrigeration,,,750.0,0.03424657534246575,1.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,335.39578663750615,1609.3908534233162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,375.0,375.0,375.0,1125.0,225.0,225.0,225.0,15.02,472.2129077576627,1.0025910082696121,25.255259910807336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.4707586767397,0.25590608510327484,1230.0552490630746,0.0,0.0,600.0,1944.7866400608223,3.241311066768037,600.0,0.0,0.0,1200.0,1944.7866400608223,1.6206555333840185,1800.0,1961.0625461459256,1.089479192303292,1800.0,2958.0040634994048,1.6433355908330027,2430.0552490630744,2544.7866400608223,1.0472134907393498,750.0,4301.097795209001,5.734797060278668
27,refrigerator_electricity_existing_residential,refrigeration,full_size,test_utility_1,test_utility_1,single_family,10,10000.0,ROB,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,refrigerator_electricity_existing_residential,refrigeration,full_size,test_utility_1,test_utility_2,single_family,10,20000.0,ROB,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,refrigerator_electricity_existing_residential,refrigeration,full_size,test_utility_1,none,single_family,10,55000.0,ROB,5500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,furnace_oil_efficient_residential,heating_cooling,oil_furnace,test_utility_1,test_utility_1,multifamily,10,2500.0,ROB,250.0,furnace_oil_baseline_residential_to_furnace_oil_efficient_residential,residential,NLIRROB,furnace_oil_baseline_residential,furnace_oil_efficient_residential,,,700.0,0.0,715.0,0.0,180.0,natural_gas,therms,67.5,electricity,kWh,,,,,,,700.0,0.03424657534246575,1.0,0.0,67.5,180.0,0.0,0.0,0.0,0.0,32.34173656861666,155.19126086581983,7864.447584133459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,210.0,210.0,210.0,14.02,45.534816105203184,0.09667841865456976,2.4353286342564213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.066823158114175,0.25590608510327484,118.61247044536792,17807.685562864568,0.0,560.0,187.53299743443648,0.33488035256149373,560.0,7864.447584133459,14.04365640023832,1120.0,8051.980581567895,7.189268376399906,1680.0,8067.256487653,4.8019383855077376,1680.0,8163.390133969228,4.859160794029303,1238.6124704453678,8611.980581567896,6.952925783535254,700.0,9221.848958098366,13.174069940140523
31,furnace_oil_efficient_residential,heating_cooling,oil_furnace,test_utility_1,test_utility_2,multifamily,10,5000.0,ROB,500.0,furnace_oil_baseline_residential_to_furnace_oil_efficient_residential,residential,NLIRROB,furnace_oil_baseline_residential,furnace_oil_efficient_residential,,,700.0,0.0,715.0,0.0,180.0,natural_gas,therms,67.5,electricity,kWh,,,,,,,700.0,0.03424657534246575,1.0,0.0,67.5,180.0,0.0,0.0,0.0,0.0,32.34173656861666,155.19126086581983,7864.447584133459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,210.0,210.0,210.0,14.02,45.534816105203184,0.09667841865456976,2.4353286342564213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.066823158114175,8.786108921879103,118.61247044536792,17807.685562864568,0.0,560.0,187.53299743443648,0.33488035256149373,560.0,7864.447584133459,14.04365640023832,1120.0,8051.980581567895,7.189268376399906,1680.0,8075.7866904897755,4.807015887196295,1680.0,8171.920336806004,4.864238295717859,1238.6124704453678,8611.980581567896,6.952925783535254,700.0,9230.379160935141,13.186255944193059
